time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z
0,0.0,0.0,0.0,6.550329365891852,0.24299533006722582,-1.487953658826373e-17,157.20639441539484,5.831700380861217,-3.5710887811832954e-16
0.05,0.32751646829459263,0.01214976650336129,-7.439768294131866e-19,14.474072137396067,0.5367748669189496,-3.2871082657189325e-17,158.72360452438187,5.883755485808568,-3.6037533003054835e-16
0.1,1.051220075164396,0.03898850984930877,-2.3875309622726526e-18,22.326401328095486,0.8279966334294134,-5.0711460107836754e-17,156.70318767027712,5.811579096365886,-3.5609399280942867e-16
0.15000000000000002,2.1675401415691704,0.08038834152077945,-4.9231039676644906e-18,30.20835160107631,1.1201537098317835,-6.861755180367268e-17,157.81493708578114,5.848060853298372,-3.5852740213817643e-16
0.2,3.6779577216229855,0.13639602701236864,-8.353981557848125e-18,38.15468593345048,1.4144231286826408,-8.666458036481069e-17,159.1344512283705,5.89104696905858,-3.6142320503967687e-16
0.25,5.58569201829551,0.20711718344650065,-1.268721057608866e-17,46.16742918370896,1.7108372752879542,-1.0485780308334425e-16,160.4608950952241,5.93349685544435,-3.6435270423687016e-16
0.3,7.894063477480957,0.29265904721089836,-1.7930100730255874e-17,54.2469295420741,2.0093686306149743,-1.231989294236366e-16,161.79419293656426,5.975380870114152,-3.6731649131964258e-16
0.35,10.606409954584661,0.39312747874164705,-2.4090047201437707e-17,62.39353137258627,2.3099881836324974,-1.416896990099566e-16,163.13426632494193,6.016669209118233,-3.7031517180775134e-16
0.39999999999999997,13.726086523213974,0.5086268879232719,-3.117453215193553e-17,70.60903869493795,2.6127165132811903,-1.6033501251812745e-16,164.5161538112115,6.058557257678975,-3.734244898345499e-16
0.44999999999999996,17.256538457960872,0.6392627135873313,-3.9191282777841907e-17,78.89722575002003,2.917641533110771,-1.7914402663180952e-16,165.98011929618193,6.1024206959861935,-3.7673144076145967e-16
0.49999999999999994,21.20139974546187,0.7851447902428698,-4.8148484109432385e-17,87.2591057872489,3.2247532274557096,-1.9812003968688966e-16,167.4518568644872,6.145635675673967,-3.800780251696315e-16
0.5499999999999999,25.564355034824317,0.9463824516156553,-5.805448609377687e-17,95.69506939077723,3.5340183983077154,-2.1726506322411629e-16,168.93128078398863,6.188170612340884,-3.8346495985951257e-16
0.6,30.34910850436318,1.1230833715310409,-6.891773925498267e-17,104.20550281422211,3.845402260477689,-2.3658114534884275e-16,170.41830235624738,6.229993895884235,-3.868929790215333e-16
0.65,35.559383645074284,1.3153534845549255,-8.074679652242481e-17,112.79078783223437,4.158868441228156,-2.560703716226342e-16,171.91282995697466,6.271073940153338,-3.903628347666881e-16
0.7000000000000001,41.198923036686004,1.5232969066163333,-9.355031510355652e-17,121.45130159419044,4.4743789824327855,-2.7573486598221757e-16,173.41476908299913,6.311379234477366,-3.938752976766629e-16
0.7500000000000001,47.271488116395524,1.7470158557379727,-1.0733705840266741e-16,130.18741648033847,4.79189434535567,-2.955767916867878e-16,174.9240224060416,6.350878397005334,-3.9743115737435233e-16
0.8000000000000002,53.78085894041245,1.9866105730057564,-1.2211589798700678e-16,138.99949996074548,5.111373418139747,-3.1559835229472635e-16,176.44048983359627,6.3895402297866575,-4.010312231156551e-16
0.8500000000000002,60.73083393844973,2.2421792439127435,-1.378958156017431e-16,147.88791445740713,5.432773526089907,-3.358017926708351e-16,177.9640685772211,6.427333775511224,-4.0467632440347903e-16
0.9000000000000002,68.12522966132008,2.513817920217239,-1.5468590523528487e-16,156.85301720989716,5.756050444832108,-3.5618940002523634e-16,179.49465322854658,6.464228375818364,-4.0836731162493357e-16
0.9500000000000003,75.96788052181495,2.8016204424588445,-1.7249537523654668e-16,165.89516014494927,6.081158416425036,-3.7676350498514155e-16,181.03213584331806,6.500193731074506,-4.1210505671273886e-16
1.0000000000000002,84.2626385290624,3.105678363280096,-1.9133355048580376e-16,175.01468975038014,6.408050168495625,-3.9752648270074485e-16,182.57640603379187,6.535199961509693,-4.1589045383193125e-16
1.0500000000000003,93.0133730165814,3.426080871704877,-2.1120987462084101e-16,184.21194695377815,6.736676936464051,-4.1848075398655267e-16,184.12735106981063,6.569217669593581,-4.197244200930017e-16
1.1000000000000003,102.22397036427031,3.762914718528079,-2.3213391232016863e-16,193.48726700639952,7.066988488917602,-4.396287864995219e-16,185.68485598888898,6.6022180035220925,-4.2360789629266084e-16
1.1500000000000004,111.89833371459028,4.116264142973959,-2.5411535164514474e-16,202.82031710794072,7.39821254885411,-4.609288892378831e-16,186.7532194633368,6.616913715040761,-4.264808864621369e-16
1.2000000000000004,122.03934956998731,4.486174770416664,-2.7716179610703885e-16,212.20248826091398,7.7299873340487375,-4.823644401678842e-16,187.7127382004212,6.626589858647508,-4.2915704502759755e-16
1.2500000000000004,132.649473983033,4.8726741371191,-3.0128001811543307e-16,221.6328471263891,8.062218868777101,-5.039352674101443e-16,188.6715234651944,6.6350121540299725,-4.318684448087249e-16
1.3000000000000005,143.73111633935244,5.275785080557956,-3.264767814859403e-16,231.11135580837734,8.39484388628375,-5.256431622224931e-16,189.62944955407718,6.64216575053866,-4.3461578653462335e-16
1.3500000000000005,155.28668412977132,5.695527274872143,-3.527589395970649e-16,240.6379701156466,8.727798395857116,-5.474899516784436e-16,190.58639164110477,6.648036977924506,-4.3739978963588814e-16
1.4000000000000006,167.31858263555367,6.131917194664998,-3.8013343718098706e-16,250.21263960820778,9.061017742856217,-5.694774996284382e-16,191.54222595179078,6.6526133911125935,-4.402211928726918e-16
