x,x_noise,vel,accel,accel_noise,CD,Sref,time_sim,predict_alt,flap_extension,kalman_alt,kalman_vel,kalman_accel
0.0,-2.1756018794420933,0.0,0.0,-0.048026338853490703,0.0,0.008760447364647391,0.0,-7.098098024159805,0.0,-7.098098024159805,0.0,0.9434204960683048
0.0,-11.79291509394148,0.0,0.0,0.01786217406699436,0.0,0.008760447364647391,0.01,-7.098098024159805,0.0,-7.098098024159805,0.0,0.9434204960683048
0.0,-9.717888091434197,0.0,0.0,0.16084266664891564,0.0,0.008760447364647391,0.02,4995.035987783723,0.0,-7.0980597405342,0.0067679928302713304,0.410180613032611
0.0,13.820064882540574,0.0,0.0,0.12894573982640603,0.0,0.008760447364647391,0.03,4982.0861036905935,0.0,-7.0980597405342,0.0067679928302713304,0.410180613032611
0.0,8.648589091591592,0.0,0.0,0.15645155279725687,0.0,0.008760447364647391,0.04,4968.2622171829835,0.0,-7.0980597405342,0.0067679928302713304,0.410180613032611
0.0,3.1614906937316127,0.0,0.0,0.3864937168063392,0.0,0.008760447364647391,0.05,4954.40051640252,0.0,-7.0980597405342,0.0067679928302713304,0.410180613032611
0.0,5.984162537213089,0.0,0.0,0.14426529868941965,0.0,0.008760447364647391,0.060000000000000005,4939.986494474297,0.0,-7.0980597405342,0.0067679928302713304,0.410180613032611
0.0,2.8818919663582565,0.0,0.0,-0.6362150206589433,0.0,0.008760447364647391,0.07,4921.945203002887,0.0,-7.0980597405342,0.0067679928302713304,0.410180613032611
0.0,-6.612357424597118,0.0,0.0,0.5620617447951577,0.0,0.008760447364647391,0.08,4907.422811257802,0.0,-7.097170742673348,0.01958038505192615,0.04411137856251135
0.0,10.896968253668264,0.0,0.0,-0.16997016374201607,0.0,0.008760447364647391,0.09,5032.360563611744,0.0,-7.096986153055515,0.019412748331768363,0.013821524710505927
0.0,-2.616167029563699,0.0,0.0,0.4241301048064254,0.0,0.008760447364647391,0.09999999999999999,5019.288484626473,0.0,-7.096986153055515,0.019412748331768363,0.013821524710505927
0.0,-6.896208152495912,0.0,0.0,0.28735365248360584,0.0,0.008760447364647391,0.10999999999999999,5007.259206207529,0.0,-7.096986153055515,0.019412748331768363,0.013821524710505927
0.0,4.703974149314539,0.0,0.0,0.7370488322802151,0.0,0.008760447364647391,0.11999999999999998,4995.1972383978045,0.0,-7.096986153055515,0.019412748331768363,0.013821524710505927
0.0,1.846632366691782,0.0,0.0,-0.26870870447882667,0.0,0.008760447364647391,0.12999999999999998,4982.246902351342,0.0,-7.096986153055515,0.019412748331768363,0.013821524710505927
0.0,-6.045364679022431,0.0,0.0,-0.2621687354073835,0.0,0.008760447364647391,0.13999999999999999,4968.430897374808,0.0,-7.095990190956269,0.019950069158958503,0.0019378009821264513
0.0,10.013441059249333,0.0,0.0,-1.1480864636554542,0.0,0.008760447364647391,0.15,4954.569054748202,0.0,-7.095990190956269,0.019950069158958503,0.0019378009821264513
0.0,13.82484715925663,0.0,0.0,-0.16724007446702963,0.0,0.008760447364647391,0.16,4940.154551054974,0.0,-7.095990190956269,0.019950069158958503,0.0019378009821264513
0.0,-7.141182408980069,0.0,0.0,-0.7651997446041141,0.0,0.008760447364647391,0.17,4922.112984898472,0.0,-7.095990190956269,0.019950069158958503,0.0019378009821264513
0.0,0.6377369954288907,0.0,0.0,0.3796100282181764,0.0,0.008760447364647391,0.18000000000000002,4907.426514777317,0.0,-7.095990190956269,0.019950069158958503,0.0019378009821264513
0.0,-6.465005662708842,0.0,0.0,0.09832812883070097,0.0,0.008760447364647391,0.19000000000000003,4892.75737773787,0.0,-7.095990190956269,0.019950069158958503,0.0019378009821264513
0.0,-7.816387362437546,0.0,0.0,-0.2719686536729216,0.0,0.008760447364647391,0.20000000000000004,4879.365424231857,0.0,-7.0947874887985956,0.020038019474232543,0.0002274401285489384
0.0,-5.791194590017286,0.0,0.0,-0.2668968533587039,0.0,0.008760447364647391,0.21000000000000005,4867.012836622123,0.0,-7.0947874887985956,0.020038019474232543,0.0002274401285489384
0.0,-9.475656666101813,0.0,0.0,0.598710797343076,0.0,0.008760447364647391,0.22000000000000006,4854.627142173671,0.0,-7.0947874887985956,0.020038019474232543,0.0002274401285489384
0.0,1.0262828765126513,0.0,0.0,0.04244109508820639,0.0,0.008760447364647391,0.23000000000000007,4841.356226876891,0.0,-7.0947874887985956,0.020038019474232543,0.0002274401285489384
0.0,-5.167540931596311,0.0,0.0,0.125308482792225,0.0,0.008760447364647391,0.24000000000000007,4827.243671610424,0.0,-7.093891441568286,0.02072054036323798,0.00027573031610567356
0.0,-10.864712561856987,0.0,0.0,-0.4919752918689425,0.0,0.008760447364647391,0.25000000000000006,4813.082148555122,0.0,-7.093891441568286,0.02072054036323798,0.00027573031610567356
0.0,-4.717184917886497,0.0,0.0,0.20032857630176748,0.0,0.008760447364647391,0.26000000000000006,4798.367162214975,0.0,-7.093891441568286,0.02072054036323798,0.00027573031610567356
0.0,4.840367846468102,0.0,0.0,-0.45236879237489425,0.0,0.008760447364647391,0.2700000000000001,4780.182131892731,0.0,-7.093891441568286,0.02072054036323798,0.00027573031610567356
0.0,-10.295171713979249,0.0,0.0,0.6796079170496295,0.0,0.008760447364647391,0.2800000000000001,4765.208550936081,0.0,-7.093891441568286,0.02072054036323798,0.00027573031610567356
0.0,-17.91287729362541,0.0,0.0,-0.0630704778482165,0.0,0.008760447364647391,0.2900000000000001,4750.248803641621,0.0,-7.09292606348811,0.020317201864443055,-7.41872634223559e-05
