x,x_noise,vel,accel,accel_noise,CD,Sref,time_sim,predict_alt,flap_extension,kalman_alt,kalman_vel,kalman_accel
0.0,9.85553963895663,0.0,0.0,0.5388626394599607,0.0,0.008760447364647391,0.0,3.7380331075927016,0.0,3.7380331075927016,0.0,0.8345338026986968
0.0,-1.97765788537802,0.0,0.0,0.11195492912994767,0.0,0.008760447364647391,0.01,3.7380331075927016,0.0,3.7380331075927016,0.0,0.8345338026986968
0.0,6.030390864289638,0.0,0.0,1.2215472251217707,0.0,0.008760447364647391,0.02,4762.562201560595,0.0,3.738066972605091,0.005986843991369314,0.36283809159279734
0.0,6.754120016951366,0.0,0.0,-0.5130898699449774,0.0,0.008760447364647391,0.03,4750.224537313255,0.0,3.738066972605091,0.005986843991369314,0.36283809159279734
0.0,-1.2458022276247191,0.0,0.0,0.5224164717741224,0.0,0.008760447364647391,0.04,4736.991429663079,0.0,3.738066972605091,0.005986843991369314,0.36283809159279734
0.0,2.6419619364499844,0.0,0.0,0.40488690254985976,0.0,0.008760447364647391,0.05,4723.682740152656,0.0,3.738066972605091,0.005986843991369314,0.36283809159279734
0.0,-5.756063491793348,0.0,0.0,-0.5101776129565079,0.0,0.008760447364647391,0.060000000000000005,4710.004222286293,0.0,3.738491487885294,0.013556739591742636,0.05361698511720148
0.0,6.890015711400514,0.0,0.0,0.09110040409089973,0.0,0.008760447364647391,0.07,4692.999260178961,0.0,3.73861978634028,0.013490414904689265,0.01692730963054235
0.0,4.68405035160188,0.0,0.0,0.6163080783216989,0.0,0.008760447364647391,0.08,4678.9718021459885,0.0,3.7387540127898697,0.013532404053934263,0.005692862805240744
0.0,-0.5524616770621092,0.0,0.0,0.3135199396684699,0.0,0.008760447364647391,0.09,4798.180656729979,0.0,3.7387540127898697,0.013532404053934263,0.005692862805240744
0.0,10.211524597444912,0.0,0.0,0.49628913410465353,0.0,0.008760447364647391,0.09999999999999999,4785.759348444895,0.0,3.7387540127898697,0.013532404053934263,0.005692862805240744
0.0,-2.788986515452602,0.0,0.0,-0.7504613192837897,0.0,0.008760447364647391,0.10999999999999999,4774.249395989917,0.0,3.7387540127898697,0.013532404053934263,0.005692862805240744
0.0,-4.517277046138612,0.0,0.0,-0.5476959254924083,0.0,0.008760447364647391,0.11999999999999998,4762.660978217368,0.0,3.7387540127898697,0.013532404053934263,0.005692862805240744
0.0,-7.267773809177237,0.0,0.0,0.1399545462138593,0.0,0.008760447364647391,0.12999999999999998,4750.323306428098,0.0,3.7387540127898697,0.013532404053934263,0.005692862805240744
0.0,-4.610658687044541,0.0,0.0,-0.36165539081489445,0.0,0.008760447364647391,0.13999999999999999,4737.091193031568,0.0,3.7395606878836762,0.013535951117617422,0.0002249284964920932
0.0,2.6142313524827516,0.0,0.0,-0.06391105023252727,0.0,0.008760447364647391,0.15,4723.780448701318,0.0,3.739684462316713,0.013383214997505189,-6.662975666213292e-05
0.0,2.244911557940361,0.0,0.0,0.40542825020651757,0.0,0.008760447364647391,0.16,4710.00176632491,0.0,3.739684462316713,0.013383214997505189,-6.662975666213292e-05
0.0,0.2696858694858549,0.0,0.0,0.66934962319336,0.0,0.008760447364647391,0.17,4692.9975312718525,0.0,3.739684462316713,0.013383214997505189,-6.662975666213292e-05
0.0,2.15587660861286,0.0,0.0,0.5674732058429277,0.0,0.008760447364647391,0.18000000000000002,4678.968522490272,0.0,3.740076331001875,0.013283141432664841,-6.308494594152453e-05
0.0,5.597534639557713,0.0,0.0,-0.1754566942252103,0.0,0.008760447364647391,0.19000000000000003,4664.873063173297,0.0,3.740076331001875,0.013283141432664841,-6.308494594152453e-05
0.0,-8.523620875405406,0.0,0.0,0.015659781784312706,0.0,0.008760447364647391,0.20000000000000004,4652.000615166667,0.0,3.740076331001875,0.013283141432664841,-6.308494594152453e-05
0.0,-11.327679178116417,0.0,0.0,-0.3902641605489341,0.0,0.008760447364647391,0.21000000000000005,4640.076612517978,0.0,3.740076331001875,0.013283141432664841,-6.308494594152453e-05
0.0,9.531025408690585,0.0,0.0,-0.2264435744538803,0.0,0.008760447364647391,0.22000000000000006,4628.060053924849,0.0,3.740076331001875,0.013283141432664841,-6.308494594152453e-05
0.0,-2.64697975292884,0.0,0.0,-0.9712463478839772,0.0,0.008760447364647391,0.23000000000000007,4615.297834986292,0.0,3.740076331001875,0.013283141432664841,-6.308494594152453e-05
0.0,-0.7826467612725893,0.0,0.0,-0.5238945872317948,0.0,0.008760447364647391,0.24000000000000007,4601.634020734802,0.0,3.740823234005087,0.012904618351753466,-0.0002540186832397992
0.0,9.72113251594789,0.0,0.0,0.24218912029159867,0.0,0.008760447364647391,0.25000000000000006,4587.885780946281,0.0,3.740823234005087,0.012904618351753466,-0.0002540186832397992
0.0,-0.5429399073142739,0.0,0.0,-0.7522476706384422,0.0,0.008760447364647391,0.26000000000000006,4573.65833306099,0.0,3.740823234005087,0.012904618351753466,-0.0002540186832397992
0.0,-3.237168154973553,0.0,0.0,-0.15252052910271882,0.0,0.008760447364647391,0.2700000000000001,4556.382779179317,0.0,3.7411591882878152,0.012563373359295877,-0.00014354810582456397
0.0,-6.728342519059553,0.0,0.0,0.10737107092819777,0.0,0.008760447364647391,0.2800000000000001,4541.897013581243,0.0,3.7411591882878152,0.012563373359295877,-0.00014354810582456397
0.0,-3.368497615980744,0.0,0.0,0.11948956055291711,0.0,0.008760447364647391,0.2900000000000001,4527.272927255382,0.0,3.741249356682282,0.011586077379496884,-0.00017507987935561032
