time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,ang_pos_x,ang_pos_y,ang_pos_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_accel_x,ang_accel_y,ang_accel_z,alpha,baro_alt,imu_accel_x,imu_accel_y,imu_accel_z,imu_ang_pos_x,imu_ang_pos_y,imu_ang_pos_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,kalman_x_pos,kalman_x_vel,kalman_x_accel,kalman_y_pos,kalman_y_vel,kalman_y_accel,kalman_z_pos,kalman_z_vel,kalman_z_accel
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05457427784645145,-0.06353300344370381,9.76609289768994,0.00931377575106588,0.486146193515629,-0.06968205990998842,0.03580821316119775,-0.005399492801972289,-0.0010113767659253726,-0.0009193278135697519,0.00015329201629367604,1.6299536233525921e-09,4.889820358379345e-07,9.779505677830585e-05,2.209349847652613e-12,6.628049542957838e-10,1.3256099085915675e-07,8.725152650422668e-11,2.6175457951268002e-08,5.2350915902536e-06
0.01,0.0,0.0,0.0,0.8907985043250713,0.0,-0.04866300652667566,106.91873620888164,0.0,-5.840727437326025,0.0,0.05,0.0,0.0,4.563899483282405e-09,0.0,0.0,0.0,0.0,0.05456795448361611,0.09862448829481049,116.82525242816315,-0.011956206592458178,0.015004605524381567,0.03393934888911379,0.06031095745267017,-0.00846465779771518,-0.001884151012713459,-0.00020249601449234516,-0.0018753827852283295,2.4431717996763268e-08,3.420355385794508e-06,0.00029315310067756637,2.7449452614849534e-11,3.78601766207742e-09,3.1232172017773983e-07,1.2818793091732249e-09,1.7919429323493437e-07,1.5301908695283564e-05
0.02,0.008907985043250714,0.0,-0.0004866300652667566,1.962473873287021,0.0,-0.1071946025388949,107.24211990733188,0.0,-5.856909676738683,0.0,0.050000000045638995,0.0,0.0,9.698705409379014e-09,0.0,0.0,1.2154919274386509e-08,0.0,0.05456125614390433,0.0722959006577064,117.19841622632627,-0.023143249569051297,0.0030990156418825156,-0.01278199365355046,0.04021987105090194,-0.00032408319068453014,0.0027340574695653864,-0.00018466294945823205,0.0014195793801544667,1.1730648156554651e-07,1.0753160069544744e-05,0.0005865627650877378,-2.7004589258056237e-11,-3.883827565712865e-09,-4.0722057202741806e-07,6.072965082654272e-09,5.55618782763698e-07,3.019570149130449e-05
0.03,0.028532723776120927,0.0,-0.0015585760906557057,3.0373655674620137,0.0,-0.1658871248974311,107.56582725462239,0.0,-5.873107947177283,0.0,0.05000000014262605,0.0,0.0,1.564300461395869e-08,0.0,0.0,2.9714943276567775e-08,0.0,0.054554490754412,-0.15645088926698855,117.52156952349432,0.005541639834036939,0.027383001356008317,0.004662218995551785,0.025634374561724405,0.012055412158186571,0.001721466598112883,0.0005228474177536268,-0.0012371653748863298,3.584955006085898e-07,2.444434154962458e-05,0.0009779133683716938,-9.691988229522563e-11,-8.75973671403349e-09,-4.4740624574212246e-07,1.8320353929981466e-08,1.246184058028838e-06,4.962635738797901e-05
0.04,0.058906379450741064,0.0,-0.003217447339630017,4.115474664443821,0.0,-0.22474062590037322,107.88974387709128,0.0,-5.889316436092871,0.0,0.0500000002990561,0.0,0.0,2.247676988991949e-08,0.0,0.0,5.5647274671539344e-08,0.0,0.05454770796531459,0.08339018141757444,117.81846928729283,-0.006994778653345425,-0.020909102791738864,0.04925982442344659,0.04276924897716243,0.019216355329338373,-0.001197918209550962,-0.0009162181729128625,0.002125209674030585,8.554863498890369e-07,4.644064796837545e-05,0.0014664743955264533,-4.4079946310281615e-10,-2.7268630022911135e-08,-1.0088107075976937e-06,4.3353400717142655e-08,2.3478459690218242e-06,7.384277518827063e-05
0.05,0.10006112609517928,0.0,-0.005464853598633749,5.196805914474267,0.0,-0.2837553407245023,108.21384956731637,0.0,-5.905534132636989,0.0,0.05000000052382381,0.0,0.0,3.031071367284652e-08,0.0,0.0,9.047003159093331e-08,0.0,0.054540925501851384,0.1415726700529503,118.14470050941783,0.001470145520800215,-0.020563738726850585,0.05407786300993832,0.0004999749336021264,0.015477821991000576,0.0015519820072825497,-0.00037342468490170904,0.0010044571871076172,1.7452034084474e-06,7.870634302168593e-05,0.0020532674942173555,-1.6331437855585297e-09,-8.0818132568398e-08,-2.457566143718188e-06,8.853304598461885e-08,3.98673685886862e-06,0.00010385908856382236
0.060000000000000005,0.15202918523992195,0.0,-0.008302407005878773,6.281361109146893,0.0,-0.3429313564954066,108.53816923718753,0.0,-5.921762283914164,0.0,0.05000000082693094,0.0,0.0,3.926080435882874e-08,0.0,0.0,1.3470463404459063e-07,0.0,0.05453415180857182,-0.027575508855370204,118.46743574327819,0.013145538814686624,-0.002335286625370071,0.0011247229364371879,-0.015195012985826761,0.01308085996148772,0.0011343438124761698,-0.00021787017260125203,-0.00012404676900489432,3.195318431344035e-06,0.0001232434589761147,0.0027385366285376978,-2.4509583647660763e-09,-1.0054035532454744e-07,-2.3188909203856643e-06,1.6029375096761832e-07,6.169648511214293e-06,0.00013655527539469079
0.07,0.2148427963313909,0.0,-0.011731720570832839,7.3691401996458366,0.0,-0.40226866824743485,108.86268927339782,0.0,-5.938000209305704,0.0,0.050000001219538986,0.0,0.0,4.944829934612349e-08,0.0,0.0,1.8887581687655186e-07,0.0,0.054527388071197655,0.2537900364454774,118.82092474348994,0.014008039250259244,0.0002895729324678082,0.025700575169297975,0.020333710261185797,-0.002945897615731203,0.0009560026018257823,0.0011593688745886953,-0.0006885992519936602,5.3986428334324935e-06,0.00018191528900275068,0.003521246984733074,-4.033202943985235e-09,-1.4101325115298167e-07,-2.751013270948988e-06,2.704373836860206e-07,9.095961446329916e-06,0.0001755763283960406
0.08,0.2885341983278492,0.0,-0.015754407253307186,8.460148562894378,0.0,-0.4617675425356894,109.18740717896942,0.0,-5.954247784624555,0.0,0.05000000171402198,0.0,0.0,6.09997782038805e-08,0.0,0.0,2.5351164265790227e-07,0.0,0.054520636167247435,0.3507516813503075,119.1487313819694,0.007924859720304933,0.018698794474705308,0.04401880812307869,0.004301261729463116,0.022605365094676207,0.0009850693995899359,0.0016793699601403843,0.0017382736436072103,8.591433988202417e-06,0.0002570305946266239,0.00440738990148262,-4.849952068571249e-09,-1.441582577742119e-07,-2.2095299286135927e-06,4.288128693329257e-07,1.2806345987576197e-05,0.0002190152520265223
0.09,0.373135683956793,0.0,-0.020372082678664083,9.554388961653267,0.0,-0.5214281151071908,109.5126622217375,0.0,-5.970521988339166,0.0,0.05000000232401977,0.0,0.0,7.404717596708584e-08,0.0,0.0,3.291435145007595e-07,0.0,0.0545138987300017,0.2432640481105481,119.43427289283053,-0.016388674970890294,0.00471377453410569,0.05909732205573615,0.04267754605735617,0.024452303012748398,-0.0008672355727422646,-0.0005644961454209664,0.0012388561925232072,1.3006821517107622e-05,0.0003498629324906913,0.005383154173199505,-6.692431472577146e-09,-1.7496645734569077e-07,-2.3838023103399678e-06,6.49661663920321e-07,1.7451617497275036e-05,0.0002681216826865865
