mach,alpha_deg,protuberance,cd_power_off,CD_Power_On,CA_Power_Off,CA_Power_On,CN_Total,CP_Total
0.03,6.0,0.0,0.54,0.515,0.47,0.445,0.697,87.169
0.03,6.0,1.0,0.689,0.665,0.62,0.595,0.697,87.169
0.03,7.0,0.0,0.567,0.542,0.472,0.447,0.813,87.169
0.03,7.0,1.0,0.717,0.692,0.623,0.597,0.813,87.169
0.03,8.0,0.0,0.598,0.574,0.474,0.449,0.929,87.169
0.03,8.0,1.0,0.749,0.724,0.625,0.6,0.929,87.169
0.03,9.0,0.0,0.634,0.609,0.476,0.451,1.045,87.169
0.03,9.0,1.0,0.784,0.759,0.629,0.603,1.045,87.169
0.03,10.0,0.0,0.673,0.648,0.479,0.454,1.161,87.169
0.03,10.0,1.0,0.824,0.799,0.632,0.607,1.161,87.169
0.03,11.0,0.0,0.717,0.692,0.482,0.457,1.277,87.169
0.03,11.0,1.0,0.868,0.843,0.636,0.611,1.277,87.169
0.03,12.0,0.0,0.765,0.739,0.486,0.46,1.393,87.169
0.03,12.0,1.0,0.917,0.891,0.641,0.615,1.393,87.169
0.03,13.0,0.0,0.816,0.791,0.489,0.463,1.509,87.169
0.03,13.0,1.0,0.969,0.944,0.646,0.62,1.509,87.169
0.03,14.0,0.0,0.872,0.847,0.494,0.467,1.626,87.169
0.03,14.0,1.0,1.025,1.0,0.651,0.625,1.626,87.169
0.03,15.0,0.0,0.932,0.906,0.498,0.472,1.742,87.169
0.03,15.0,1.0,1.086,1.06,0.657,0.631,1.742,87.169
0.04,0.0,0.0,0.457,0.432,0.457,0.432,0.0,87.169
0.04,0.0,1.0,0.605,0.58,0.605,0.58,0.0,87.169
0.04,1.0,0.0,0.459,0.434,0.457,0.432,0.116,87.169
0.04,1.0,1.0,0.607,0.583,0.605,0.581,0.116,87.169
0.04,2.0,0.0,0.465,0.44,0.457,0.432,0.232,87.169
0.04,2.0,1.0,0.614,0.589,0.606,0.581,0.232,87.169
0.04,3.0,0.0,0.475,0.451,0.458,0.433,0.348,87.169
0.04,3.0,1.0,0.624,0.6,0.607,0.582,0.348,87.169
0.04,4.0,0.0,0.49,0.465,0.459,0.434,0.464,87.169
0.04,4.0,1.0,0.639,0.614,0.608,0.583,0.464,87.169
0.04,5.0,0.0,0.509,0.484,0.46,0.435,0.581,87.169
0.04,5.0,1.0,0.658,0.633,0.61,0.585,0.581,87.169
0.04,6.0,0.0,0.532,0.507,0.462,0.437,0.697,87.169
0.04,6.0,1.0,0.681,0.657,0.612,0.587,0.697,87.169
0.04,7.0,0.0,0.559,0.534,0.463,0.438,0.813,87.169
0.04,7.0,1.0,0.709,0.684,0.614,0.589,0.813,87.169
0.04,8.0,0.0,0.59,0.565,0.466,0.44,0.929,87.169
0.04,8.0,1.0,0.74,0.715,0.617,0.592,0.929,87.169
0.04,9.0,0.0,0.626,0.601,0.468,0.443,1.045,87.169
0.04,9.0,1.0,0.776,0.751,0.62,0.595,1.045,87.169
0.04,10.0,0.0,0.665,0.64,0.471,0.445,1.161,87.169
0.04,10.0,1.0,0.816,0.791,0.624,0.599,1.161,87.169
0.04,11.0,0.0,0.709,0.684,0.474,0.448,1.277,87.169
0.04,11.0,1.0,0.86,0.835,0.628,0.602,1.277,87.169
0.04,12.0,0.0,0.756,0.731,0.477,0.451,1.393,87.169
0.04,12.0,1.0,0.908,0.883,0.633,0.607,1.393,87.169
0.04,13.0,0.0,0.808,0.783,0.481,0.455,1.509,87.169
0.04,13.0,1.0,0.961,0.935,0.637,0.611,1.509,87.169
0.04,14.0,0.0,0.864,0.838,0.485,0.459,1.626,87.169
0.04,14.0,1.0,1.017,0.992,0.643,0.617,1.626,87.169
0.04,15.0,0.0,0.923,0.898,0.489,0.463,1.742,87.169
0.04,15.0,1.0,1.077,1.052,0.649,0.622,1.742,87.169
0.05,0.0,0.0,0.448,0.424,0.448,0.424,0.0,87.169
0.05,0.0,1.0,0.597,0.572,0.597,0.572,0.0,87.169
0.05,1.0,0.0,0.45,0.426,0.448,0.424,0.116,87.169
0.05,1.0,1.0,0.599,0.574,0.597,0.572,0.116,87.169
0.05,2.0,0.0,0.457,0.432,0.449,0.424,0.232,87.169
0.05,2.0,1.0,0.605,0.581,0.598,0.573,0.232,87.169
0.05,3.0,0.0,0.467,0.442,0.45,0.425,0.348,87.169
0.05,3.0,1.0,0.616,0.591,0.599,0.574,0.348,87.169
0.05,4.0,0.0,0.482,0.457,0.451,0.426,0.464,87.169
0.05,4.0,1.0,0.631,0.606,0.6,0.575,0.464,87.169
0.05,5.0,0.0,0.501,0.476,0.452,0.427,0.581,87.169
0.05,5.0,1.0,0.65,0.625,0.602,0.577,0.581,87.169
0.05,6.0,0.0,0.524,0.499,0.453,0.428,0.697,87.169
0.05,6.0,1.0,0.673,0.648,0.604,0.579,0.697,87.169
0.05,7.0,0.0,0.551,0.526,0.455,0.43,0.813,87.169
0.05,7.0,1.0,0.7,0.676,0.606,0.581,0.813,87.169
0.05,8.0,0.0,0.582,0.557,0.457,0.432,0.929,87.169
0.05,8.0,1.0,0.732,0.707,0.609,0.584,0.929,87.169
0.05,9.0,0.0,0.617,0.592,0.46,0.434,1.045,87.169
0.05,9.0,1.0,0.768,0.743,0.612,0.587,1.045,87.169
0.05,10.0,0.0,0.657,0.632,0.462,0.437,1.161,87.169
0.05,10.0,1.0,0.808,0.783,0.616,0.59,1.161,87.169
0.05,11.0,0.0,0.7,0.675,0.465,0.44,1.277,87.169
0.05,11.0,1.0,0.852,0.827,0.62,0.594,1.277,87.169
0.05,12.0,0.0,0.748,0.723,0.469,0.443,1.393,87.169
0.05,12.0,1.0,0.9,0.875,0.624,0.598,1.393,87.169
0.05,13.0,0.0,0.8,0.774,0.472,0.446,1.509,87.169
0.05,13.0,1.0,0.952,0.927,0.629,0.603,1.509,87.169
0.05,14.0,0.0,0.855,0.83,0.476,0.45,1.626,87.169
0.05,14.0,1.0,1.008,0.983,0.634,0.608,1.626,87.169
0.05,15.0,0.0,0.915,0.889,0.481,0.454,1.742,87.169
0.05,15.0,1.0,1.069,1.043,0.64,0.613,1.742,87.169
0.06,0.0,0.0,0.442,0.418,0.442,0.418,0.0,87.169
0.06,0.0,1.0,0.591,0.566,0.591,0.566,0.0,87.169
0.06,1.0,0.0,0.444,0.42,0.443,0.418,0.116,87.169
0.06,1.0,1.0,0.593,0.568,0.591,0.567,0.116,87.169
0.06,2.0,0.0,0.451,0.426,0.443,0.418,0.232,87.169
0.06,2.0,1.0,0.6,0.575,0.592,0.567,0.232,87.169
0.06,3.0,0.0,0.461,0.437,0.444,0.419,0.348,87.169
0.06,3.0,1.0,0.61,0.585,0.593,0.568,0.348,87.169
0.06,4.0,0.0,0.476,0.451,0.445,0.42,0.464,87.169
0.06,4.0,1.0,0.625,0.6,0.594,0.569,0.464,87.169
0.06,5.0,0.0,0.495,0.47,0.446,0.421,0.581,87.169
0.06,5.0,1.0,0.644,0.619,0.596,0.571,0.581,87.169
0.06,6.0,0.0,0.518,0.493,0.447,0.422,0.697,87.169
0.06,6.0,1.0,0.667,0.642,0.598,0.573,0.697,87.169
0.06,7.0,0.0,0.545,0.52,0.449,0.424,0.813,87.169
0.06,7.0,1.0,0.695,0.67,0.6,0.575,0.813,87.169
0.06,8.0,0.0,0.576,0.551,0.451,0.426,0.929,87.169
0.06,8.0,1.0,0.726,0.701,0.603,0.578,0.929,87.169
0.06,9.0,0.0,0.611,0.586,0.453,0.428,1.045,87.169
0.06,9.0,1.0,0.762,0.737,0.606,0.581,1.045,87.169
0.06,10.0,0.0,0.651,0.626,0.456,0.431,1.161,87.169
0.06,10.0,1.0,0.802,0.777,0.609,0.584,1.161,87.169
0.06,11.0,0.0,0.694,0.669,0.459,0.434,1.277,87.169
0.06,11.0,1.0,0.846,0.821,0.613,0.588,1.277,87.169
0.06,12.0,0.0,0.742,0.717,0.462,0.437,1.393,87.169
0.06,12.0,1.0,0.894,0.869,0.618,0.592,1.393,87.169
0.06,13.0,0.0,0.794,0.768,0.466,0.44,1.509,87.169
0.06,13.0,1.0,0.946,0.921,0.623,0.597,1.509,87.169
0.06,14.0,0.0,0.849,0.824,0.47,0.444,1.626,87.169
0.06,14.0,1.0,1.002,0.977,0.628,0.602,1.626,87.169
0.06,15.0,0.0,0.909,0.883,0.474,0.448,1.742,87.169
0.06,15.0,1.0,1.063,1.037,0.633,0.607,1.742,87.169
0.07,0.0,0.0,0.439,0.414,0.439,0.414,0.0,87.169
0.07,0.0,1.0,0.588,0.563,0.588,0.563,0.0,87.169
0.07,1.0,0.0,0.441,0.417,0.439,0.415,0.116,87.169
0.07,1.0,1.0,0.59,0.565,0.588,0.563,0.116,87.169
0.07,2.0,0.0,0.447,0.423,0.44,0.415,0.232,87.169
0.07,2.0,1.0,0.596,0.572,0.588,0.564,0.232,87.169
0.07,3.0,0.0,0.458,0.433,0.44,0.416,0.348,87.169
0.07,3.0,1.0,0.607,0.582,0.589,0.565,0.348,87.169
0.07,4.0,0.0,0.473,0.448,0.441,0.416,0.464,87.169
0.07,4.0,1.0,0.622,0.597,0.591,0.566,0.464,87.169
0.07,5.0,0.0,0.491,0.467,0.442,0.418,0.581,87.169
0.07,5.0,1.0,0.641,0.616,0.592,0.567,0.581,87.169
0.07,6.0,0.0,0.514,0.49,0.444,0.419,0.697,87.169
0.07,6.0,1.0,0.664,0.639,0.594,0.569,0.697,87.169
0.07,7.0,0.0,0.541,0.517,0.446,0.421,0.813,87.169
0.07,7.0,1.0,0.691,0.666,0.597,0.572,0.813,87.169
0.07,8.0,0.0,0.573,0.548,0.448,0.423,0.929,87.169
0.07,8.0,1.0,0.723,0.698,0.599,0.574,0.929,87.169
0.07,9.0,0.0,0.608,0.583,0.45,0.425,1.045,87.169
0.07,9.0,1.0,0.759,0.734,0.603,0.577,1.045,87.169
0.07,10.0,0.0,0.648,0.622,0.453,0.427,1.161,87.169
0.07,10.0,1.0,0.798,0.773,0.606,0.581,1.161,87.169
0.07,11.0,0.0,0.691,0.666,0.456,0.43,1.277,87.169
0.07,11.0,1.0,0.842,0.817,0.61,0.584,1.277,87.169
0.07,12.0,0.0,0.739,0.713,0.459,0.433,1.393,87.169
0.07,12.0,1.0,0.891,0.865,0.614,0.589,1.393,87.169
0.07,13.0,0.0,0.79,0.765,0.463,0.437,1.509,87.169
0.07,13.0,1.0,0.943,0.917,0.619,0.593,1.509,87.169
0.07,14.0,0.0,0.846,0.82,0.466,0.44,1.626,87.169
0.07,14.0,1.0,0.999,0.974,0.624,0.598,1.626,87.169
0.07,15.0,0.0,0.905,0.88,0.471,0.444,1.742,87.169
0.07,15.0,1.0,1.059,1.034,0.63,0.604,1.742,87.169
0.08,0.0,0.0,0.436,0.411,0.436,0.411,0.0,87.169
0.08,0.0,1.0,0.584,0.56,0.584,0.56,0.0,87.169
0.08,1.0,0.0,0.438,0.413,0.436,0.411,0.116,87.169
0.08,1.0,1.0,0.587,0.562,0.585,0.56,0.116,87.169
0.08,2.0,0.0,0.444,0.42,0.436,0.412,0.232,87.169
0.08,2.0,1.0,0.593,0.568,0.585,0.56,0.232,87.169
0.08,3.0,0.0,0.455,0.43,0.437,0.412,0.348,87.169
0.08,3.0,1.0,0.604,0.579,0.586,0.561,0.348,87.169
0.08,4.0,0.0,0.469,0.445,0.438,0.413,0.464,87.169
0.08,4.0,1.0,0.618,0.594,0.587,0.563,0.464,87.169
0.08,5.0,0.0,0.488,0.463,0.439,0.414,0.581,87.169
0.08,5.0,1.0,0.637,0.613,0.589,0.564,0.581,87.169
0.08,6.0,0.0,0.511,0.486,0.441,0.416,0.697,87.169
0.08,6.0,1.0,0.661,0.636,0.591,0.566,0.697,87.169
0.08,7.0,0.0,0.538,0.513,0.442,0.417,0.813,87.169
0.08,7.0,1.0,0.688,0.663,0.593,0.568,0.813,87.169
0.08,8.0,0.0,0.569,0.544,0.444,0.419,0.929,87.169
0.08,8.0,1.0,0.72,0.695,0.596,0.571,0.929,87.169
