Time (s),Thrust (N),Theta,Phi
0.0,6694.9,90.0,10.0
0.049,6720.292,90.0,10.0
0.103,6593.334,90.0,10.0
0.384,6677.973,90.0,10.0
1.109,6957.279,90.0,10.0
1.569,6940.352,90.0,10.0
1.991,6720.292,90.0,10.0
2.622,6009.329,90.0,10.0
3.011,3275.507,90.0,10.0
3.192,2606.864,90.0,10.0
3.334,1599.666,90.0,10.0
3.423,1041.053,90.0,10.0
3.513,389.337,90.0,10.0
3.581,220.06,90.0,10.0
3.594,0,90.0,10.0
