# Time (s),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Mach number (​)
0,3.124,2.957,0.046,0.12,3.124,0,0,0,0,0,0,0,0,1.301e-6
0.009,3.124,2.957,0.046,0.12,3.124,0,0,0,0,0,0,0,0,1.301e-6
0.019,1.895,1.728,0.047,0.12,1.905,0,0,0,0,0,0,0,0,5.799e-4
0.029,1.336,1.169,0.047,0.12,1.337,0,0,0,0,0,0,0,0,0.003
0.039,1.134,0.967,0.047,0.12,1.135,0,0,0,0,0,0,0,0,0.006
0.044,1.072,0.905,0.047,0.12,1.072,0,0,0,0,0,0,0,0,0.009
0.051,1.008,0.841,0.047,0.12,1.008,0,0,0,0,0,0,0,0,0.013
0.063,0.95,0.783,0.047,0.12,0.95,0,0,0,0,0,0,0,0,0.019
0.073,0.916,0.749,0.047,0.12,0.916,0,0,0,0,0,0,0,0,0.024
0.078,0.902,0.735,0.047,0.12,0.902,0,0,0,0,0,0,0,0,0.027
0.086,0.884,0.717,0.047,0.12,0.884,0,0,0,0,0,0,0,0,0.03
0.094,0.867,0.7,0.047,0.12,0.867,0,0,0,0,0,0,0,0,0.035
0.104,0.851,0.684,0.047,0.12,0.851,0,0,0,0,0,0,0,0,0.04
0.109,0.844,0.676,0.047,0.12,0.844,0,0,0,0,0,0,0,0,0.042
0.117,0.834,0.667,0.047,0.12,0.834,0,0,0,0,0,0,0,0,0.046
0.125,0.824,0.657,0.047,0.12,0.824,0,0,0,0,0,0,0,0,0.05
0.135,0.814,0.647,0.047,0.12,0.814,0,0,0,0,0,0,0,0,0.055
0.147,0.804,0.636,0.047,0.12,0.804,0,0,0,0,0,0,0,0,0.061
0.157,0.796,0.628,0.047,0.121,0.796,0,0,0,0,0,0,0,0,0.066
0.167,0.789,0.62,0.048,0.121,0.789,0,0,0,0,0,0,0,0,0.071
0.177,0.782,0.614,0.048,0.121,0.782,0,0,0,0,0,0,0,0,0.076
0.187,0.776,0.607,0.048,0.121,0.776,0,0,0,0,0,0,0,0,0.081
0.194,0.772,0.603,0.048,0.121,0.772,0,0,0,0,0,0,0,0,0.085
0.204,0.767,0.598,0.048,0.121,0.767,0,0,0,0,0,0,0,0,0.09
0.214,0.762,0.593,0.048,0.121,0.762,0,0,0,0,0,0,0,0,0.095
0.224,0.757,0.588,0.048,0.121,0.757,0,0,0,0,0,0,0,0,0.1
0.234,0.753,0.583,0.048,0.121,0.753,0,0,0,0,0,0,0,0,0.105
0.244,0.749,0.579,0.048,0.122,0.749,0,0,0,0,0,0,0,0,0.11
0.254,0.745,0.575,0.049,0.122,0.745,0,0,0,0,0,0,0,0,0.115
0.264,0.742,0.571,0.049,0.122,0.742,0,0,0,0,0,0,0,0,0.12
0.274,0.738,0.567,0.049,0.122,0.738,0,0,0,0,0,0,0,0,0.125
0.284,0.735,0.564,0.049,0.122,0.735,0,0,0,0,0,0,0,0,0.13
0.294,0.732,0.56,0.049,0.122,0.732,0,0,0,0,0,0,0,0,0.135
0.304,0.729,0.557,0.049,0.123,0.729,0,0,0,0,0,0,0,0,0.14
0.314,0.726,0.554,0.05,0.123,0.726,0,0,0,0,0,0,0,0,0.145
0.324,0.724,0.551,0.05,0.123,0.724,0,0,0,0,0,0,0,0,0.151
0.334,0.721,0.548,0.05,0.123,0.721,0,0,0,0,0,0,0,0,0.156
0.344,0.719,0.546,0.05,0.123,0.719,0,0,0,0,0,0,0,0,0.161
0.35,0.719,0.546,0.05,0.124,0.719,0,0,0,0,0,0,0,0,0.164
0.359,0.72,0.546,0.05,0.124,0.72,0,0,0,0,0,0,0,0,0.169
0.369,0.72,0.546,0.051,0.124,0.72,0,0,0,0,0,0,0,0,0.174
0.379,0.721,0.545,0.051,0.124,0.721,0.006,0.037,2.651e-7,0,0,0,0,0,0.18
0.394,0.721,0.545,0.051,0.125,0.721,0.009,0.053,3.586e-4,0,0,0,0,7.827e-9,0.188
0.416,0.722,0.545,0.052,0.125,0.722,0.013,0.076,3.541e-4,0,0,0,0,7.851e-8,0.2
0.428,0.723,0.545,0.052,0.126,0.723,0.014,0.085,7.065e-5,0,0,0,0,1.643e-7,0.206
0.445,0.723,0.545,0.053,0.126,0.723,0.017,0.099,-2.21E-04,0,0,0,0,3.911e-7,0.216
0.471,0.725,0.544,0.053,0.127,0.725,0.02,0.117,-3.89E-04,0,0,0,0,1.053e-6,0.23
0.51,0.727,0.544,0.055,0.128,0.727,0.023,0.139,-8.13E-05,0,0,0,0,3.145e-6,0.252
0.56,0.73,0.543,0.057,0.13,0.73,0.026,0.159,4.089e-4,0,0,0,0,8.814e-6,0.28
0.563,0.73,0.543,0.057,0.13,0.73,0.026,0.159,4.035e-4,0,0,0,0,9.301e-6,0.282
0.568,0.73,0.543,0.057,0.131,0.73,0.026,0.161,-1.75E-04,0,0,0,0,1.006e-5,0.285
0.574,0.731,0.543,0.057,0.131,0.731,0.027,0.162,-2.48E-04,0,0,0,0,1.129e-5,0.289
0.585,0.731,0.542,0.058,0.131,0.731,0.027,0.165,-3.52E-04,0,0,0,0,1.331e-5,0.295
0.6,0.732,0.542,0.058,0.132,0.732,0.027,0.167,-4.03E-04,0,0,0,0,1.676e-5,0.304
0.624,0.734,0.542,0.059,0.133,0.734,0.028,0.17,1.661e-4,0,0,0,0,2.294e-5,0.317
0.658,0.737,0.541,0.061,0.135,0.737,0.027,0.169,-2.80E-04,0,0,0,0,3.453e-5,0.338
0.694,0.74,0.54,0.063,0.137,0.74,0.026,0.163,2.99e-4,0,0,0,0,4.902e-5,0.359
0.744,0.744,0.539,0.066,0.14,0.744,0.024,0.148,4.071e-4,0,0,0,0,7.273e-5,0.388
0.794,0.75,0.538,0.069,0.143,0.75,0.019,0.122,2.988e-4,0,0,0,0,9.723e-5,0.418
0.844,0.755,0.536,0.073,0.146,0.755,0.014,0.088,-3.77E-04,0,0,0,0,1.172e-4,0.448
0.894,0.761,0.535,0.077,0.15,0.761,0.007,0.047,-4.83E-04,0,0,0,0,1.267e-4,0.479
0.944,0.768,0.533,0.081,0.154,0.768,4.48e-4,0.003,4.957e-4,0,0,0,0,1.212e-4,0.509
0.988,0.775,0.531,0.086,0.157,0.775,0.005,0.035,-2.62E-04,0,0,0,0,-1.04E-04,0.537
1.038,0.783,0.53,0.091,0.162,0.783,0.011,0.073,-3.80E-04,0,0,0,0,-7.24E-05,0.568
1.088,0.792,0.528,0.098,0.167,0.792,0.015,0.098,-4.21E-04,0,0,0,0,-3.85E-05,0.599
1.138,0.802,0.525,0.105,0.172,0.802,0.016,0.108,-3.20E-04,0,0,0,0,-1.25E-05,0.63
1.188,0.813,0.523,0.113,0.177,0.813,0.014,0.097,4.551e-4,0,0,0,0,-7.84E-07,0.662
1.238,0.825,0.521,0.122,0.182,0.825,0.01,0.067,-1.15E-04,0,0,0,0,1.577e-6,0.693
1.266,0.833,0.52,0.127,0.186,0.833,0.006,0.044,-3.88E-04,0,0,0,0,4.235e-6,0.711
1.308,0.845,0.517,0.137,0.191,0.845,8.46e-4,0.006,-2.77E-04,0,0,0,0,6.577e-6,0.738
1.358,0.862,0.515,0.151,0.197,0.862,0.005,0.038,-2.75E-04,0,0,0,0,-3.91E-06,0.77
1.408,0.883,0.512,0.167,0.204,0.883,0.009,0.067,-4.71E-04,0,0,0,0,-8.07E-08,0.802
1.458,0.908,0.509,0.189,0.21,0.908,0.01,0.071,-4.33E-04,0,0,0,0,3.687e-6,0.834
1.491,0.929,0.507,0.206,0.215,0.929,0.008,0.058,3.724e-4,0,0,0,0,1.061e-5,0.855
1.541,0.968,0.504,0.241,0.222,0.968,0.003,0.02,2.342e-4,0,0,0,0,1.976e-5,0.887
1.581,0.987,0.499,0.259,0.228,0.987,0.002,0.017,-2.41E-04,0,0,0,0,-1.90E-05,0.914
1.631,0.987,0.491,0.26,0.236,0.987,0.007,0.052,4.51e-4,0,0,0,0,-8.45E-06,0.946
1.641,0.987,0.489,0.26,0.238,0.987,0.007,0.056,-3.50E-04,0,0,0,0,-6.18E-06,0.952
1.656,0.989,0.486,0.263,0.24,0.989,0.008,0.06,4.297e-4,0,0,0,0,-3.29E-06,0.961
1.679,0.993,0.483,0.267,0.244,0.993,0.008,0.059,2.976e-4,0,0,0,0,-5.94E-07,0.976
1.684,0.994,0.482,0.268,0.245,0.994,0.007,0.057,-1.97E-04,0,0,0,0,-2.73E-07,0.979
1.692,0.995,0.48,0.269,0.246,0.995,0.007,0.055,3.948e-4,0,0,0,0,-2.68E-08,0.984
1.705,0.997,0.478,0.271,0.248,0.997,0.006,0.049,1.232e-4,0,0,0,0,1.121e-7,0.992
1.716,0.999,0.476,0.273,0.25,0.999,0.005,0.041,4.582e-5,0,0,0,0,5.407e-7,0.999
1.733,1.001,0.474,0.28,0.248,1.001,0.004,0.029,4.217e-4,0,0,0,0,1.45e-6,1.009
1.759,1.003,0.469,0.289,0.244,1.003,8.073e-4,0.006,4.92e-5,0,0,0,0,2.387e-6,1.025
1.784,1.003,0.465,0.297,0.24,1.003,0.002,0.016,3.432e-4,0,0,0,0,-2.01E-06,1.041
1.822,1,0.459,0.305,0.235,1,0.005,0.042,-1.04E-06,0,0,0,0,-2.02E-07,1.063
1.872,0.991,0.451,0.311,0.229,0.991,0.005,0.044,3.405e-4,0,0,0,0,2.221e-6,1.093
1.922,0.98,0.446,0.311,0.223,0.98,0.002,0.012,-2.98E-04,0,0,0,0,7.566e-6,1.122
1.938,0.976,0.445,0.31,0.221,0.976,7.133e-5,5.331e-4,4.376e-4,0,0,0,0,0,1.131
1.962,0.97,0.443,0.309,0.218,0.97,0.002,0.019,4.112e-4,0,0,0,0,-6.52E-06,1.144
1.998,0.96,0.44,0.306,0.215,0.96,0.005,0.037,5.898e-5,0,0,0,0,-2.37E-06,1.164
2.048,0.946,0.436,0.3,0.21,0.946,0.004,0.031,3.766e-4,0,0,0,0,4.02e-8,1.192
2.098,0.931,0.432,0.295,0.205,0.931,3.001e-4,0.003,4.259e-4,0,0,0,0,-7.97E-07,1.219
2.138,0.92,0.428,0.29,0.202,0.92,0.003,0.025,2.107e-4,0,0,0,0,-8.28E-08,1.24
2.188,0.908,0.425,0.286,0.197,0.908,0.003,0.027,1.796e-5,0,0,0,0,1.352e-6,1.267
2.238,0.898,0.421,0.284,0.193,0.898,1.197e-4,0.001,-4.28E-04,0,0,0,0,3.456e-6,1.293
2.288,0.889,0.417,0.283,0.19,0.889,0.003,0.022,-3.98E-04,0,0,0,0,-1.45E-06,1.319
2.338,0.881,0.413,0.282,0.186,0.881,0.002,0.018,-3.35E-04,0,0,0,0,0,1.344
2.388,0.873,0.409,0.282,0.183,0.873,4.776e-4,0.004,3.278e-4,0,0,0,0,-1.76E-07,1.37
2.438,0.866,0.405,0.281,0.179,0.866,0.002,0.018,5.351e-5,0,0,0,0,8.248e-8,1.395
2.488,0.859,0.402,0.281,0.176,0.859,0.001,0.01,3.876e-4,0,0,0,0,1.296e-6,1.419
2.491,0.858,0.401,0.281,0.176,0.858,0.001,0.008,2.955e-4,0,0,0,0,1.368e-6,1.421
2.496,0.857,0.401,0.281,0.176,0.857,9.13e-4,0.007,-2.54E-04,0,0,0,0,1.46e-6,1.423
2.502,0.856,0.4,0.281,0.175,0.856,6.034e-4,0.005,-1.10E-04,0,0,0,0,1.569e-6,1.426
2.512,0.855,0.4,0.281,0.175,0.855,1.261e-4,7.846e-4,4.327e-4,0,0,0,0,1.6e-6,1.431
2.528,0.853,0.399,0.28,0.174,0.853,5.743e-4,0.004,4.299e-5,0,0,0,0,-1.56E-06,1.439
2.55,0.849,0.397,0.28,0.172,0.849,0.001,0.011,-9.59E-05,0,0,0,0,-1.06E-06,1.45
2.585,0.845,0.395,0.28,0.171,0.845,0.002,0.014,-2.53E-04,0,0,0,0,-2.21E-07,1.466
2.6,0.843,0.393,0.28,0.17,0.843,0.002,0.013,-3.01E-05,0,0,0,0,-4.68E-08,1.474
2.623,0.839,0.392,0.279,0.168,0.839,9.455e-4,0.007,-3.18E-04,0,0,0,0,5.48e-9,1.484
2.658,0.835,0.389,0.279,0.167,0.835,3.52e-4,0.003,-2.14E-04,0,0,0,0,-2.88E-08,1.5
2.708,0.829,0.386,0.279,0.164,0.829,0.001,0.011,4.264e-4,0,0,0,0,9.959e-8,1.521
2.758,0.824,0.383,0.278,0.162,0.824,6.477e-4,0.005,4.165e-4,0,0,0,0,8.006e-7,1.54
2.808,0.819,0.381,0.278,0.161,0.819,7.485e-4,0.006,4.88e-4,0,0,0,0,-6.88E-07,1.557
2.858,0.815,0.379,0.278,0.159,0.815,0.001,0.008,4.561e-4,0,0,0,0,-8.72E-08,1.573
2.908,0.811,0.377,0.277,0.158,0.811,9.677e-5,6.194e-4,-3.47E-04,0,0,0,0,0,1.587
2.919,0.811,0.376,0.277,0.157,0.811,1.774e-4,0.002,2.266e-4,0,0,0,0,0,1.589
2.935,0.81,0.376,0.277,0.157,0.81,5.206e-4,0.004,1.483e-4,0,0,0,0,0,1.594
2.96,0.808,0.375,0.277,0.156,0.808,8.541e-4,0.007,3.402e-5,0,0,0,0,5.072e-8,1.6
2.997,0.806,0.373,0.277,0.155,0.806,7.7e-4,0.006,1.2e-4,0,0,0,0,3.126e-7,1.609
3.022,0.804,0.372,0.277,0.155,0.804,3.779e-4,0.003,-5.71E-06,0,0,0,0,5.182e-7,1.615
3.06,0.802,0.371,0.276,0.154,0.802,3.511e-4,0.003,-6.88E-05,0,0,0,0,-4.97E-07,1.623
3.11,0.799,0.37,0.276,0.153,0.799,7.522e-4,0.006,-7.46E-05,0,0,0,0,-1.42E-07,1.634
3.138,0.797,0.369,0.276,0.153,0.797,5.254e-4,0.004,-2.26E-04,0,0,0,0,-2.95E-08,1.639
3.181,0.796,0.368,0.276,0.152,0.796,1.51e-4,0.001,-1.95E-04,0,0,0,0,5.946e-9,1.646
3.231,0.794,0.367,0.276,0.151,0.794,6.134e-4,0.005,9.901e-5,0,0,0,0,1.045e-7,1.654
3.281,0.792,0.366,0.276,0.151,0.792,2.656e-4,0.002,2.978e-4,0,0,0,0,3.437e-7,1.66
3.3,0.791,0.365,0.276,0.15,0.791,7.111e-6,-2.44E-04,3.592e-4,0,0,0,0,0,1.663
3.329,0.791,0.365,0.276,0.15,0.791,3.429e-4,0.003,-1.59E-04,0,0,0,0,-3.08E-07,1.666
3.373,0.79,0.364,0.275,0.15,0.79,4.936e-4,0.004,-4.27E-04,0,0,0,0,-1.12E-07,1.669
3.388,0.789,0.364,0.275,0.15,0.789,4.191e-4,0.004,-1.92E-04,0,0,0,0,-6.66E-08,1.67
3.41,0.789,0.364,0.275,0.15,0.789,2.103e-4,0.002,2.038e-4,0,0,0,0,-3.28E-08,1.671
3.441,0.789,0.364,0.275,0.15,0.789,1.33e-4,0.002,2.294e-4,0,0,0,0,2.982e-8,1.672
3.487,0.788,0.364,0.275,0.149,0.788,4.089e-4,0.003,-1.50E-04,0,0,0,0,1.159e-7,1.674
3.537,0.788,0.364,0.275,0.149,0.788,1.911e-4,0.002,-4.18E-04,0,0,0,0,2.563e-7,1.675
3.544,0.788,0.364,0.275,0.149,0.788,1.298e-4,7.364e-4,2.628e-4,0,0,0,0,2.703e-7,1.675
3.555,0.788,0.364,0.275,0.149,0.788,3.291e-5,4.465e-4,1.481e-4,0,0,0,0,0,1.675
3.571,0.788,0.363,0.275,0.149,0.788,1.129e-4,0.001,1.661e-4,0,0,0,0,-2.78E-07,1.676
3.595,0.788,0.363,0.275,0.149,0.788,2.842e-4,0.002,4.377e-4,0,0,0,0,-2.21E-07,1.676
3.609,0.788,0.363,0.275,0.149,0.788,3.353e-4,0.003,4.065e-4,0,0,0,0,-1.77E-07,1.676
3.629,0.788,0.363,0.275,0.149,0.788,3.378e-4,0.002,1.775e-4,0,0,0,0,-1.17E-07,1.676
3.66,0.788,0.363,0.275,0.149,0.788,1.983e-4,0.002,-8.96E-05,0,0,0,0,-5.99E-08,1.676
3.688,0.788,0.364,0.275,0.149,0.788,1.828e-5,1.119e-4,3.674e-4,0,0,0,0,0,1.675
3.73,0.789,0.364,0.275,0.149,0.789,2.805e-4,0.002,-3.87E-05,0,0,0,0,9.072e-8,1.673
3.778,0.789,0.364,0.275,0.15,0.789,2.263e-4,0.002,-9.74E-05,0,0,0,0,2.103e-7,1.671
3.819,0.79,0.365,0.275,0.15,0.79,5.469e-5,1.448e-4,2.931e-4,0,0,0,0,-2.41E-07,1.668
3.853,0.79,0.365,0.275,0.15,0.79,2.477e-4,0.002,2.627e-4,0,0,0,0,-1.95E-07,1.666
3.897,0.791,0.365,0.276,0.15,0.791,2.37e-4,0.002,4.992e-4,0,0,0,0,-9.39E-08,1.662
3.947,0.793,0.366,0.276,0.151,0.793,7.247e-5,5.725e-4,-2.34E-04,0,0,0,0,6.831e-8,1.657
3.981,0.794,0.367,0.276,0.151,0.794,2.445e-4,0.002,2.587e-4,0,0,0,0,9.806e-8,1.653
3.997,0.568,0.258,0.158,0.151,0.568,1.608e-4,5.852e-4,-1.07E-04,0,0,0,0,1.635e-7,1.651
4.021,0.568,0.259,0.158,0.152,0.568,1.368e-4,4.628e-4,-1.22E-04,0,0,0,0,2.649e-7,1.648
4.057,0.569,0.259,0.158,0.152,0.569,2.864e-5,-2.86E-04,1.708e-4,0,0,0,0,1.658e-8,1.644
4.107,0.571,0.26,0.158,0.153,0.571,1.355e-4,4.852e-4,-3.49E-04,0,0,0,0,-1.69E-07,1.638
4.157,0.572,0.26,0.158,0.153,0.572,8.495e-6,-5.39E-05,1.318e-4,0,0,0,0,0,1.632
4.207,0.573,0.261,0.158,0.154,0.573,1.75e-4,4.073e-4,-4.67E-04,0,0,0,0,5.238e-8,1.626
4.257,0.574,0.261,0.159,0.154,0.574,1.416e-4,8.661e-4,-1.69E-04,0,0,0,0,2.278e-8,1.621
4.307,0.575,0.262,0.159,0.155,0.575,1.94e-4,4.964e-4,-3.70E-04,0,0,0,0,-2.93E-07,1.615
4.357,0.577,0.263,0.159,0.155,0.577,2.16e-4,7.622e-4,4.362e-4,0,0,0,0,2.628e-8,1.609
4.407,0.578,0.263,0.159,0.156,0.578,2.333e-4,0.001,1.18e-5,0,0,0,0,1.065e-7,1.603
4.457,0.579,0.264,0.159,0.156,0.579,2.546e-4,8.647e-4,3.779e-4,0,0,0,0,7.861e-9,1.598
4.507,0.58,0.264,0.159,0.157,0.58,1.888e-4,0.001,3.326e-4,0,0,0,0,-2.29E-07,1.592
4.557,0.581,0.265,0.159,0.158,0.581,1.431e-4,3.63e-4,-4.27E-04,0,0,0,0,0,1.586
4.607,0.582,0.266,0.159,0.158,0.582,1.892e-4,4.364e-4,-2.28E-04,0,0,0,0,2.418e-7,1.581
4.657,0.584,0.266,0.159,0.159,0.584,1.652e-4,0.001,2.083e-4,0,0,0,0,-1.45E-08,1.575
4.707,0.585,0.267,0.159,0.159,0.585,1.802e-4,9.134e-4,-2.07E-04,0,0,0,0,-1.60E-07,1.57
4.757,0.586,0.267,0.159,0.16,0.586,8.79e-5,1.068e-4,-4.04E-04,0,0,0,0,0,1.564
4.807,0.587,0.268,0.159,0.16,0.587,2.369e-4,0.002,2.15e-4,0,0,0,0,2.142e-7,1.559
4.857,0.588,0.268,0.159,0.161,0.588,9.133e-5,3.155e-4,-4.10E-04,0,0,0,0,-1.65E-08,1.554
4.907,0.589,0.269,0.159,0.161,0.589,1.751e-4,8.455e-4,1.042e-4,0,0,0,0,-2.40E-08,1.548
4.957,0.59,0.27,0.159,0.162,0.59,3.708e-5,-2.64E-04,7.466e-5,0,0,0,0,1.787e-8,1.543
5.007,0.592,0.27,0.159,0.163,0.592,1.36e-4,7.72e-4,-2.09E-05,0,0,0,0,3.855e-8,1.537
5.057,0.593,0.271,0.159,0.163,0.593,2.621e-5,4.81e-4,1.388e-5,0,0,0,0,0,1.532
5.107,0.594,0.271,0.159,0.164,0.594,1.229e-4,6.534e-4,-1.66E-04,0,0,0,0,0,1.527
5.157,0.595,0.272,0.159,0.164,0.595,1.252e-4,2.291e-4,-4.29E-04,0,0,0,0,3.288e-7,1.522
5.207,0.596,0.272,0.159,0.165,0.596,1.451e-4,9.281e-4,4.783e-4,0,0,0,0,8.664e-8,1.516
5.257,0.597,0.273,0.159,0.165,0.597,6.516e-5,3.321e-4,-2.05E-04,0,0,0,0,8.816e-8,1.511
5.307,0.598,0.273,0.159,0.166,0.598,9.674e-5,6.716e-4,-3.09E-04,0,0,0,0,1.926e-8,1.506
5.357,0.599,0.274,0.159,0.167,0.599,4.621e-5,2.894e-4,3.685e-4,0,0,0,0,1.689e-7,1.501
5.407,0.601,0.274,0.159,0.167,0.601,9.069e-5,8.631e-4,-3.07E-04,0,0,0,0,5.826e-8,1.496
5.457,0.602,0.275,0.159,0.168,0.602,2.513e-5,3.452e-4,-7.24E-05,0,0,0,0,0,1.491
5.507,0.603,0.276,0.159,0.168,0.603,1.078e-4,7.376e-4,4.368e-4,0,0,0,0,-1.90E-07,1.486
5.557,0.604,0.276,0.159,0.169,0.604,6.699e-5,2.613e-4,4.46e-4,0,0,0,0,-3.10E-07,1.481
5.607,0.605,0.277,0.159,0.169,0.605,1.092e-4,8.686e-4,2.096e-4,0,0,0,0,0,1.476
5.657,0.606,0.277,0.159,0.17,0.606,1.165e-4,3.794e-4,1.846e-4,0,0,0,0,2.78e-7,1.471
5.707,0.607,0.278,0.159,0.171,0.607,9.68e-5,1.947e-4,5.517e-5,0,0,0,0,3.578e-7,1.466
5.757,0.608,0.278,0.159,0.171,0.608,7.621e-5,4.883e-4,-2.91E-04,0,0,0,0,-4.99E-07,1.461
5.807,0.609,0.279,0.159,0.172,0.609,1.066e-4,4e-4,-4.89E-04,0,0,0,0,-3.48E-07,1.456
5.857,0.61,0.279,0.159,0.172,0.61,5.897e-5,4.084e-4,4.727e-4,0,0,0,0,-1.50E-08,1.451
5.907,0.611,0.28,0.159,0.173,0.611,1.347e-4,1.322e-4,1.636e-4,0,0,0,0,2.653e-7,1.446
5.957,0.613,0.28,0.159,0.173,0.613,3.011e-5,1.872e-4,4.662e-4,0,0,0,0,0,1.442
6.007,0.614,0.281,0.159,0.174,0.614,1.646e-4,3.646e-4,-4.83E-04,0,0,0,0,-3.09E-07,1.437
6.057,0.615,0.281,0.159,0.175,0.615,9.543e-5,1.684e-4,4.337e-4,0,0,0,0,-2.79E-07,1.432
6.107,0.616,0.282,0.159,0.175,0.616,1.366e-4,6.275e-4,-3.20E-04,0,0,0,0,1.044e-7,1.427
6.157,0.617,0.282,0.159,0.176,0.617,1.01e-4,2.85e-4,1.557e-4,0,0,0,0,5.445e-7,1.423
6.207,0.618,0.283,0.159,0.176,0.618,9.259e-5,7.409e-4,3.715e-4,0,0,0,0,-2.07E-07,1.418
6.257,0.619,0.283,0.159,0.177,0.619,7.084e-5,1.662e-4,2.974e-4,0,0,0,0,-3.83E-07,1.413
6.307,0.62,0.284,0.159,0.177,0.62,1.779e-5,2.762e-4,-2.63E-04,0,0,0,0,0,1.409
6.357,0.621,0.284,0.159,0.178,0.621,6.641e-5,-5.04E-05,3.243e-4,0,0,0,0,4.566e-7,1.404
6.407,0.622,0.285,0.159,0.179,0.622,4.374e-5,3.802e-4,4.874e-4,0,0,0,0,-3.42E-07,1.4
6.457,0.623,0.285,0.159,0.179,0.623,4.832e-5,3.228e-5,-1.60E-05,0,0,0,0,-3.74E-07,1.395
6.507,0.624,0.286,0.159,0.18,0.624,4.632e-5,-8.70E-05,-1.52E-04,0,0,0,0,4.307e-7,1.39
6.557,0.625,0.286,0.159,0.18,0.625,6.321e-5,7.262e-4,-1.46E-04,0,0,0,0,4.956e-7,1.386
6.607,0.626,0.287,0.159,0.181,0.626,3.142e-5,-5.19E-05,-1.67E-04,0,0,0,0,0,1.381
6.657,0.627,0.287,0.158,0.182,0.627,8.627e-5,2.392e-4,4.564e-4,0,0,0,0,-4.01E-07,1.377
6.707,0.628,0.288,0.158,0.182,0.628,7.14e-5,3.17e-4,3.22e-4,0,0,0,0,-4.44E-07,1.373
6.757,0.629,0.288,0.158,0.183,0.629,6.953e-5,2.384e-6,4.394e-4,0,0,0,0,-1.85E-07,1.368
6.807,0.63,0.288,0.158,0.183,0.63,2.74e-5,-1.84E-04,4.716e-4,0,0,0,0,0,1.364
6.857,0.631,0.289,0.158,0.184,0.631,9.707e-5,4.352e-4,3.235e-4,0,0,0,0,4.643e-7,1.359
6.907,0.632,0.289,0.158,0.185,0.632,5.231e-5,2.398e-4,-7.38E-05,0,0,0,0,1.243e-7,1.355
6.957,0.633,0.29,0.158,0.185,0.633,1.23e-4,1.486e-4,3.162e-4,0,0,0,0,-7.27E-07,1.351
7.007,0.633,0.29,0.158,0.186,0.633,1.306e-4,5.419e-4,3.556e-4,0,0,0,0,-4.11E-07,1.346
7.057,0.634,0.291,0.157,0.186,0.634,6.004e-5,6.981e-4,-3.08E-04,0,0,0,0,3.713e-7,1.342
7.107,0.635,0.291,0.157,0.187,0.635,1.579e-4,6.986e-4,-1.95E-04,0,0,0,0,5.72e-7,1.338
7.157,0.636,0.292,0.157,0.187,0.636,5.443e-5,6.457e-4,2.38e-4,0,0,0,0,3.845e-7,1.333
7.207,0.637,0.292,0.157,0.188,0.637,1.01e-4,6.164e-4,3.621e-4,0,0,0,0,-6.20E-07,1.329
7.257,0.638,0.293,0.157,0.189,0.638,3.399e-5,9.103e-5,2.688e-4,0,0,0,0,0,1.325
7.307,0.639,0.293,0.157,0.189,0.639,1.228e-4,0.001,-3.58E-04,0,0,0,0,4.538e-7,1.321
7.357,0.64,0.293,0.157,0.19,0.64,8.361e-5,5.133e-4,-2.96E-04,0,0,0,0,8.438e-7,1.317
7.407,0.641,0.294,0.157,0.19,0.641,1.03e-4,1.49e-4,-4.15E-04,0,0,0,0,-7.21E-07,1.313
7.457,0.642,0.294,0.156,0.191,0.642,1.226e-4,2.512e-4,-2.85E-04,0,0,0,0,-4.81E-07,1.308
7.507,0.643,0.295,0.156,0.192,0.643,3.496e-5,-1.87E-04,7.664e-5,0,0,0,0,0,1.304
7.557,0.644,0.295,0.156,0.192,0.644,1.085e-4,8.417e-4,4.362e-4,0,0,0,0,7.091e-7,1.3
7.607,0.645,0.296,0.156,0.193,0.645,5.525e-5,2.489e-4,-1.24E-04,0,0,0,0,2.743e-8,1.296
7.657,0.645,0.296,0.156,0.193,0.645,1.113e-4,6.912e-4,2.456e-4,0,0,0,0,-3.43E-07,1.292
7.707,0.646,0.296,0.156,0.194,0.646,9.076e-5,4.543e-4,3.688e-4,0,0,0,0,-3.12E-07,1.288
7.757,0.647,0.297,0.156,0.195,0.647,4.299e-5,5.089e-4,1.078e-4,0,0,0,0,5.355e-7,1.284
7.807,0.648,0.297,0.156,0.195,0.648,1.027e-4,9.29e-4,-3.69E-04,0,0,0,0,7.067e-7,1.28
7.857,0.649,0.298,0.155,0.196,0.649,4.553e-5,-2.39E-04,4.859e-4,0,0,0,0,8.348e-7,1.276
7.907,0.65,0.298,0.155,0.197,0.65,1.576e-5,1.229e-4,3.135e-4,0,0,0,0,0,1.272
7.957,0.651,0.299,0.155,0.197,0.651,3.609e-5,5.777e-4,3.2e-4,0,0,0,0,0,1.268
8.007,0.652,0.299,0.155,0.198,0.652,3.906e-5,3.457e-4,-1.64E-04,0,0,0,0,0,1.264
8.057,0.653,0.299,0.155,0.198,0.653,8.965e-5,4.819e-4,-4.29E-04,0,0,0,0,3.283e-7,1.26
8.107,0.654,0.3,0.155,0.199,0.654,6.324e-5,5.612e-4,4.063e-4,0,0,0,0,-1.08E-07,1.256
